feature,proxy_capacity,proxy_use,proxy_risk
hours-per-week,0.0486,0.0894,0.0043
capital-gain,0.0354,0.1032,0.0037
native-country,0.0287,0.0693,0.002
educational-num,0.0145,0.0813,0.0012
education,0.0079,0.0742,0.0006
capital-loss,0.001,0.0808,0.0001
age,0.0,0.0811,0.0
workclass,0.0,0.0792,0.0
marital-status,0.0,0.076,0.0
occupation,0.0,0.0955,0.0
relationship,0.0,0.0756,0.0
race,0.0,0.0738,0.0
