strategy,du,sp,eod,pp,abroca,ti,Δdu,Δsp,Δeod,Δpp,Δabroca,Δti,accuracy,f1
baseline,0.1826,0.0331,0.0553,0.0694,0.0,1.1787,0.0,0.0,0.0,0.0,0.0,0.0,0.388,0.2949
masking,0.1858,0.0334,0.054,0.0661,0.0,0.8783,-0.0033,-0.0003,0.0013,0.0033,0.0,0.3005,0.391,0.296
abstraction,0.1724,0.0101,0.044,0.0214,0.0,1.0528,0.0102,0.023,0.0113,0.048,0.0,0.126,0.399,0.327
debiasing,0.2457,0.0159,0.0571,0.032,0.0,0.4074,-0.0631,0.0172,-0.0018,0.0374,0.0,0.7713,0.431,0.4372
filtering,0.1824,0.0172,0.1288,0.0854,0.0,1.1264,0.0002,0.0159,-0.0735,-0.0161,0.0,0.0524,0.392,0.3028
