strategy,du,sp,eod,pp,abroca,ti,Δdu,Δsp,Δeod,Δpp,Δabroca,Δti,accuracy,f1,type,mean_score,mean_score_protected,mean_score_non_protected,n_protected,n_non_protected
baseline,0.3501,0.06,0.2735,0.1957,0.0,0.4989,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.619,—,,,,,
masking,0.2949,0.1,0.2021,0.14,0.0,0.4504,0.0552,-0.04,0.0714,0.0557,0.0,0.0485,0.66,0.6047,VAYNE,,,,,
filtering,0.3433,0.1,0.2963,0.1535,0.0,0.4853,0.0069,-0.04,-0.0228,0.0421,0.0,0.0136,0.72,0.6667,VAYNE,,,,,
fair_prompt,0.051,0.08,0.2524,0.0995,0.0,0.5455,0.2991,-0.02,0.0211,0.0962,0.0,-0.0466,0.81,0.7324,EXT,0.337,0.302,0.372,50.0,50.0
few_shot_fair,0.324,0.04,0.0657,0.0571,0.0,2.1202,0.0261,0.02,0.2078,0.1386,0.0,-1.6213,0.67,0.3774,EXT,0.12,0.14,0.1,50.0,50.0
