strategy,du,sp,eod,pp,abroca,ti,Δdu,Δsp,Δeod,Δpp,Δabroca,Δti,accuracy,f1,type,mean_score,mean_score_protected,mean_score_non_protected,n_protected,n_non_protected
baseline,0.088,0.04,0.088,0.0229,0.0,0.1655,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.8659,—,,,,,
masking,0.073,0.04,0.2066,0.0497,0.0,0.1804,0.015,0.0,-0.1186,-0.0268,0.0,-0.015,0.74,0.8395,VAYNE,,,,,
filtering,0.086,0.06,0.1123,0.0205,0.0,0.145,0.002,-0.02,-0.0243,0.0023,0.0,0.0205,0.81,0.8862,VAYNE,,,,,
fair_prompt,0.101,0.0,0.1766,0.0476,0.0,0.108,-0.013,0.04,-0.0886,-0.0247,0.0,0.0575,0.84,0.907,EXT,0.773,0.772,0.774,50.0,50.0
few_shot_fair,0.25,0.06,0.4045,0.0808,0.0,0.2057,-0.162,-0.02,-0.3165,-0.0579,0.0,-0.0402,0.71,0.8153,EXT,0.592,0.622,0.562,50.0,50.0
